current1,current2,nonqs,edge_iota,force1,force2
-19131.75344364176,-58994.483925314606,0.06378341985148954,0.3190816463011147,1364.9571555950358,4831.830842859126
-19507.45010388646,-58489.29041851076,0.06083017570433642,0.3155597622394675,1390.7869624901768,4795.722692752538
-19883.187402786374,-57986.74581114891,0.057961181230339096,0.3121458616483268,1416.7019098044536,4759.967070516973
-20258.969041765493,-57486.80158682903,0.0551882693196943,0.30885699277834017,1442.7080613862,4724.551967405729
-20634.799102316847,-56989.40344735772,0.05251625146730609,0.30566746286183355,1468.81132620991,4689.4647705308125
-21010.682060611343,-56494.49110464611,0.04994421303531893,0.30254048473924966,1495.0174483648395,4654.692244220497
-21386.622800274305,-56001.99810084918,0.047468208176488655,0.2994435213275422,1521.3319974520507,4620.220514891034
-21762.62662307926,-55511.85166031547,0.04508318998798935,0.29635298618199274,1548.6713751751322,4586.03505981017
-22138.69925733212,-55023.97257682424,0.04278405066493878,0.2932545593204609,1576.4321849223431,4552.120700118416
-22514.846863751023,-54538.27513941611,0.04056610804372577,0.2901420861945757,1604.3404518283453,4518.461598453611
-22891.07603869043,-54054.66709987034,0.038425307375520905,0.28701609242226606,1632.4001168416382,4485.04126149477
-23267.393814608622,-53573.049684539496,0.036358284487522895,0.2838821533182659,1660.6149197389109,4451.842547701544
-23643.807657739653,-53093.3176528244,0.03436235320183313,0.2807491200368351,1688.9883944963642,4418.847680476621
-24020.325462997913,-52615.3594040562,0.03243543681070682,0.27762724911185105,1717.5238657122482,4386.038266919124
-24396.95554622079,-52139.05713395851,0.030575951935259783,0.27452644322069497,1746.2244461817406,4353.395322269602
-24773.706633933853,-51664.28704119094,0.02878266179428324,0.27145491000109867,1775.0930357191776,4320.899300070357
-25150.587850908458,-51190.91958374659,0.027054527634528838,0.26841846475616377,1804.1323213150267,4288.530127982145
-25527.608705864946,-50718.81978419379,0.02539058733089307,0.2654204853540033,1833.3447787050586,4258.514759425737
-25904.779075758368,-50247.84758194347,0.02378987743281073,0.26246232726519775,1862.7326754176654,4229.52451103671
-26282.109189159593,-49777.85822990015,0.02225139850301249,0.2595439340065157,1892.2980753516463,4200.557749671914
-26659.609609312556,-49308.70273204577,0.020774112642237337,0.25666442754415564,1922.0428449216117,4171.592470990919
-27037.291217496513,-48840.228317734516,0.01935695915573298,0.2538225628957826,1951.9686607907515,4142.606382876539
-27415.165197341434,-48372.27894778325,0.017998876806642816,0.2510170189956954,1982.0770191910008,4113.576965075029
-27793.2430207065,-47904.69584687294,0.01669882541952486,0.24824654946728852,2012.3692468066279,4084.4815316776217
-28171.536435586666,-47437.31805641632,0.01545580344098104,0.24551003555261586,2042.8465131654102,4055.2972957640386
-28550.057456151695,-46969.98300204213,0.014268860625758644,0.2428064819351444,2073.509844433048,4026.001435503814
-28928.818354234798,-46502.52707048093,0.013137106363765196,0.24013498621203044,2104.9674458684663,3996.5711610346257
-29307.831649937667,-46034.786192458436,0.012059714668143689,0.2374947015552869,2136.932646878036,3966.9837815449264
-29687.110095660173,-45566.59643228757,0.011035926877728803,0.2348848029589782,2169.0874591049273,3937.216772255409
-30066.666641149342,-45097.79459327346,0.010065052955505015,0.23230446126782864,2201.4317874221256,3907.2478415625797
-30446.514353974293,-44628.218864764116,0.009146472046728086,0.2297528256112063,2233.9654614242245,3877.054999753307
-30826.666244355292,-44157.7095691012,0.008279632776006894,0.22722901324447048,2266.6882372094246,3846.616632942312
-31207.134894881572,-43686.11012847095,0.007464053644551651,0.22473210548927838,2299.599781935126,3815.911590194345
-31587.931705291256,-43213.26848730069,0.006699323845571297,0.22226114904023486,2332.699623887224,3784.9192999386773
-31969.065396676113,-42739.03943889101,0.005985104844314067,0.2198151632050647,2365.987035693115,3753.619946937427
-32350.539120517442,-42263.28869092504,0.005321133156139157,0.21739315578950777,2399.460790912868,3721.9947688070197
-32732.344988414767,-41785.90019184829,0.00470722486686047,0.21499415376864964,2433.118685447391,3690.02658102453
-33114.45391696748,-41306.78944323935,0.004143282490994268,0.2126172604725448,2466.95662983139,3657.7007277214225
-33496.797107401726,-40825.927592778105,0.003629304567152859,0.21026176011931094,2500.966971766672,3625.00680928427
-33879.232834944254,-40343.38460064756,0.0031653975630834994,0.20792730586012206,2535.1354605631454,3591.941800550188
-34261.487857687054,-39859.4055853791,0.0027517874544242204,0.20561425187994936,2569.435854182183,3558.5156148625006
-34643.05566356827,-39374.54396017281,0.002388823449211268,0.20332423060008017,2603.8204987182903,3524.7608986334453
-35023.02240947559,-38889.89029353482,0.002076956582415195,0.20106114031142183,2638.2041304819095,3490.750027578096
-35399.77334873702,-38407.4602803751,0.0018166581899656889,0.19883281186601606,2672.4364303667026,3456.6241815197595
-35770.50383634317,-37930.844131850106,0.0016082140423122643,0.19665378878952006,2706.2561238514104,3422.642413253213
-36130.41262879631,-37466.28231668161,0.001451288012038388,0.19454992591716797,2739.2150157023325,3389.263484430744
-36471.37728167374,-37024.43658356135,0.0013441051431498181,0.19256597043593437,2770.5530182878797,3357.2811575578958
-36779.77134084168,-36623.30840286262,0.0012821081454029875,0.19077811540254414,2798.992262371748,3328.0471082521353
-37032.806537630284,-36293.10878561578,0.0012561662639809456,0.18931513572364847,2822.3933241307263,3303.840267573745
-37192.17717191793,-36084.63230042239,0.0012514148652295375,0.18839524471393668,2837.16295102236,3288.4909387244434
-37192.177171917945,-36084.6323004224,0.001251414865229537,0.18839524471393668,2837.162951022362,3288.4909387244466
-37349.40881755194,-35878.567664567876,0.001255539691866189,0.1874886995106809,2851.7576017374054,3273.269066861984
