nonqs,edge_iota
0.0516972200007211,0.34003217698844523
0.049279586738876203,0.3374638701716818
0.04693313596901459,0.3355569611330457
0.044681795673452804,0.3339527372565011
0.04252844738481461,0.33251353778882986
0.040471079291988656,0.33116941211772066
0.0385059444712368,0.32987601186234505
0.036628581792284745,0.3286000098164912
0.03483423169375289,0.327314221983692
0.03311803770285803,0.32599619761611615
0.02957212547686996,0.3067036663026992
0.0276251527608438,0.3018425364005063
0.0260866188141624,0.2986778266919089
0.02467065652446045,0.29581422988556727
0.02333760557614949,0.2931020758733623
0.022073770127981795,0.29049168515677104
0.020872313873934154,0.2879576975026299
0.019728735138916435,0.2854833538458896
0.018639491200433306,0.28305615818163044
0.01760152183822261,0.2806664867087486
0.016612070784384803,0.2783070665939627
0.015668614915758237,0.27597270354506276
0.014768833924696214,0.2736600455222949
0.01391059445632143,0.2713673060752812
0.013091937859442347,0.2690939303566464
0.012311066954586763,0.2668402227443387
0.011566330312097516,0.264606979797034
0.010856204294123227,0.26239519053483107
0.010179273988270935,0.2602058882058272
0.0095342142056322,0.2580402757548353
0.008919771215103508,0.25590023640095166
0.008334746357964825,0.2537888528141371
0.007777987519298253,0.25170889677347336
0.0072483987487759974,0.24965747118793102
0.006744955859589775,0.2476245437377477
0.006266691444676027,0.24560335961072352
0.005812663370382268,0.24359611329826697
0.005381949285039759,0.2416070376487525
0.00497365783123706,0.2396377642998519
0.004586935229113098,0.23768800245672117
0.004220965972613189,0.2357568888431617
0.0038749715163793534,0.23384358522320745
0.0035482086517697646,0.23194742428683982
0.0032399679355224345,0.23006790587327952
0.002949572185161081,0.2282046612722281
0.0026763750093928905,0.22635741853834634
0.0024197593542273073,0.2245259749897295
0.0021791360608514345,0.22271017634663862
0.0019539424412395472,0.22090990086337683
0.0017436408827916669,0.21912504697766674
0.0015477174956461124,0.21735552333589991
0.0013656808168787588,0.21560124034341918
0.001197060585058327,0.2138621026617492
0.001041406596277238,0.21213800239471603
0.0008982876479019293,0.21042881310015715
0.0007672905680126381,0.20873438514542003
0.0006480193173497096,0.20705454301312015
0.0005400941401052649,0.20538908458347313
0.00044315073671594716,0.20373778161873232
0.00035683943936604134,0.2021003831673622
0.00028082437485511396,0.200476631709832
0.00021478258679508933,0.1988662922790061
0.00015840313783884314,0.19726915643876028
0.0001113863316269484,0.19568501441587183
7.344312238865372e-05,0.19411364625837005
4.4294623812714835e-05,0.19255483116719352
2.3671658971857056e-05,0.19100834952741497
1.1314349547923211e-05,0.18947397893877102
6.971738378861358e-06,0.1879514912938655
6.971738378861358e-06,0.1879514912938655
1.0401431647747582e-05,0.18644065240205066
2.136925100692901e-05,0.18494122328546728
3.9648892194759835e-05,0.18345296222538204
6.502159059897583e-05,0.18197562700643316
9.72757956384913e-05,0.18050897708933017
0.00013620685579727142,0.1790527756079748
0.00018161671553188939,0.17760679117131178
0.0002333136246050942,0.17617079948473274
0.00029111185989328465,0.1747445848131973
0.00035483145941347217,0.1733279413049262
0.0004242979681567777,0.17192067419190185
0.0004993421952123723,0.17052260088687238
0.0005797999815520038,0.16913355200509111
0.0006655119777075369,0.16775337234656001
0.0007563234304493081,0.1663819218741644
0.0008520839775168509,0.16501907671215807
0.0009526474494976724,0.1636647301718144
0.0010578716780864166,0.1623187937941614
0.0011676183101482255,0.16098119838917216
0.0012817526272161641,0.15965189504705313
0.0014001433702454738,0.15833085609700268
0.001522662569616071,0.1570180759882956
0.0016491853805179388,0.15571357206617822
0.0017795899239782522,0.15441738521099638
0.0019137571339020289,0.15312958030424192
0.002051570610606971,0.15185024648055662
0.002192916481443271,0.15057949712071178
0.0023376832691991245,0.1493174695374745
0.0024857617690993293,0.14806432430445962
0.002637044935297448,0.14682024417799117
0.002791427777831504,0.1455854325642225
0.0029488072710462617,0.14436011148881378
0.0031090822744680472,0.14314451903487405
0.0032721534670405177,0.14193890622695252
0.003437923295480918,0.14074353335474
0.0036062959372917254,0.13955866574963063
0.003777177278660845,0.13838456904979285
0.00395047490711035,0.13722150401403307
0.00412609811832315,0.13606972097007833
0.004303957936106235,0.13492945400734105
0.004483967143968259,0.1338009150458588
0.004666040326326882,0.1326842879299254
0.0048500939169539145,0.1315797227052237
0.005036046251946423,0.13048733024047823
0.00522381762430976,0.12940717734801252
0.0054133303371743215,0.1283392825418812
0.005604508752753189,0.12728361254817827
0.005797279334379318,0.12624007965111694
0.005991570679325406,0.12520853992261186
0.006187313540578161,0.12418879234493246
0.006384440836280252,0.1231805787981316
0.006582887646125849,0.12218358484900348
0.006782591194562078,0.12119744124831201
0.006983490821173931,0.12022172601961864
0.007185527939084613,0.119255967006957
0.007388645982568796,0.11829964474010303
0.007592790345342516,0.11735219547474814
0.007797908311159727,0.11641301426957801
0.008003948978418355,0.11548145797181589
0.008210863180471156,0.11455684799576984
0.008418603403263588,0.11363847279395237
0.008627123701801994,0.11272558993610837
0.008836379616805458,0.11181742772692138
0.009046328092732871,0.11091318630749498
0.009256927398214602,0.11001203819833351
0.009468137049770923,0.10911312825226281
0.009679917739572675,0.10821557299451123
0.00989223126790666,0.10731845933422328
0.010105040480949765,0.10642084263751693
0.010318309214444689,0.1055217441574932
0.010532002243904518,0.10462014782239976
0.010746085242069823,0.10371499639077587
0.010960524744499852,0.102805186993805
0.011175288124413197,0.10188956610276988
0.011390343578251421,0.10096692398739583
0.011605660123803022,0.10003598877463676
0.011821207613413364,0.09909542028001395
0.012036956765436351,0.09814380388601876
0.012252879218054749,0.09717964488455272
0.012468947610698014,0.09620136391463155
0.012685135699601804,0.09520729443447895
