current1,current2,nonqs,edge_iota,force1,force2
-23693.336722490385,-48942.53632635333,0.03699321212829576,0.40478599914420726,1383.8182548680327,3369.311074672343
-24109.072786704975,-48365.55263212758,0.03471767816903452,0.40070140659961473,1412.330490786329,3335.708707479527
-24524.859633602013,-47795.24513333239,0.032535896128706776,0.3964755094935869,1442.3458812829106,3303.409063321282
-24940.712461254763,-47231.44450907791,0.03044703557070652,0.3920299316878004,1472.9470139667571,3272.3481922597093
-25356.647820549653,-46673.96288044474,0.028447862078536435,0.38731182049533425,1503.855587106373,3242.4617758579266
-25772.683570083544,-46122.59416685167,0.026535208615814262,0.3823225157511072,1535.0750511234062,3213.685227758758
-26188.838817037264,-45577.11461995458,0.024708711535758782,0.3771304194670997,1566.6085888024004,3185.9537959024583
-26605.13384565059,-45037.28353311526,0.022971045236134965,0.37184587019382265,1598.4591054431992,3159.2026659688263
-27021.59003544252,-44502.84412072924,0.021325230710817177,0.3665718669719623,1630.6292211627313,3133.3670655758488
-27438.229771798,-43973.52455793218,0.019772011382703774,0.3613729934742059,1663.121265644305,3108.3823687032937
-27855.076351953878,-43449.03916753886,0.01830935845999379,0.3562780598438314,1695.93727561743,3084.184199737944
-28272.15388974023,-42929.08973764149,0.016933236716988494,0.3512942686269183,1729.0789953275016,3060.708536461325
-28689.487222647193,-42413.366950235504,0.01563840006185592,0.34641078273708,1762.5478802222804,3037.891811225656
-29107.10182486299,-41901.551898682956,0.014419116617125855,0.34159014380474517,1796.3451040398804,3015.671009494573
-29525.023729827753,-41393.31766989824,0.013270073676489094,0.33676806237362183,1830.4715694291592,2993.983764868604
-29943.27946550312,-40888.33096600137,0.012187036961188271,0.33188315131567736,1864.9279221634015,2972.768449678928
-30361.896004846592,-40386.25374002085,0.011166735575345534,0.32691985048310646,1899.7145689119614,2951.9642602264435
-30780.90073267229,-39886.74482133828,0.010206442649492681,0.3219103292714224,1934.8316983920604,2931.5112957806373
-31200.321427756924,-39389.46150944049,0.00930381342345394,0.31689116803124673,1970.2793054959723,2911.350630556695
-31620.186254951994,-38894.06112003684,0.008456741080998203,0.3118774273856102,2006.0572176066928,2891.4243780973648
-32040.52375487074,-38400.20247720427,0.007663183756721054,0.30686901772514263,2042.1651216532305,2871.675747864251
-32461.36280617207,-37907.54736150674,0.006921128591532997,0.3018616175172497,2078.602589299131,2852.049094506166
-32882.73251381635,-37415.761951319044,0.0062286509569829005,0.29685103585658007,2115.369095643305,2832.4899614175115
-33304.66193984997,-36924.518339952934,0.005583978433793092,0.29183360160499566,2152.4640233497603,2812.945122162575
-33727.179531699316,-36433.496285956426,0.004985527761833828,0.28680554958521526,2189.8866382698498,2793.362626676126
-34150.31200189642,-35942.38547576274,0.004431917751979758,0.28176247959441164,2227.6360129155,2773.6918647560856
-34574.08225060101,-35450.888773383915,0.003921968520623829,0.2766990544106665,2265.7108583762565,2753.883668661448
-34998.505666273544,-34958.72724033589,0.003454695300695619,0.2716088754465205,2304.109200207232,2733.8904918104545
-35423.58374544257,-34465.6481864905,0.0030293015712290644,0.26648446921111735,2342.8277948396517,2713.6667249346306
-35849.29337854855,-33971.4382365528,0.00264517336140577,0.26131735323892485,2381.86112383314,2693.1692493958635
-36275.56927505415,-33475.94447090175,0.002301874461203553,0.2560981856196102,2421.1997153583384,2672.3583865405853
-36702.275745746265,-32979.10825724938,0.0019991404918459025,0.2508170376675444,2460.8274148437163,2651.199491322599
-37129.162298856856,-32481.01859790299,0.0017368677020348465,0.24546387150056614,2500.717046320631,2629.6655704284267
-37555.79508926413,-31981.994880361373,0.0015150892156151567,0.2400293613455741,2542.5545086921456,2607.741495784759
-37981.45300145108,-31482.713087886023,0.001333926538446825,0.23450628189649708,2596.240622652227,2585.4306535691717
-38404.972794216694,-30984.395133747123,0.001193496682974466,0.22889181372251519,2650.2125178032707,2562.765241226575
-38824.52187562461,-30489.088537561634,0.0010937447887333573,0.22319131470622436,2704.2238166558227,2539.821931486471
-39237.26910858231,-30000.07409746507,0.001034158463305527,0.21742441359200065,2757.8883866063534,2516.7453060016833
-39638.911855014776,-29522.45445988691,0.0010133045434443896,0.2116347565425773,2810.612069809531,2493.7823924204426
-40022.99747447498,-29064.000755593966,0.001028115960933099,0.20590544699461766,2861.4943994177647,2471.3329530601677
-40379.94140693362,-28636.376991746605,0.0010728575075513093,0.20038319450612802,2909.186730418765,2450.7382835307435
-40695.57360262349,-28256.94293059673,0.0011377430741182943,0.19531523994899147,2951.6844848450437,2432.361380961022
-40948.89997363732,-27951.500671961297,0.001207334105925451,0.19110338693113232,2986.0137779733564,2417.3345237813623
-41108.452291144815,-27758.70093115474,0.0012593008212637847,0.18837662935291677,3007.73612114254,2407.7406794329586
-41108.45229114517,-27758.700931154977,0.0012593008212637856,0.1883766293529167,3007.7361211425923,2407.740679433
-41243.5728436097,-27595.1647257461,0.0013082940978237413,0.18601843222515174,3026.193055157794,2399.536470239281
-41474.168786142676,-27315.518987637184,0.00140261078493966,0.18188024131725417,3057.820410277493,2385.3646146513875
-41763.847876813394,-26963.21554053822,0.0015405934141575304,0.17645237494484495,3097.7814629182135,2367.251651016356
-42089.89156043948,-26565.322801260518,0.0017226012993088325,0.1699817602168739,3143.0653430613493,2346.4433506745695
-42438.240838566,-26138.58767827499,0.00194948018471069,0.16254671968187318,3191.8054467477987,2323.7070274640573
-42800.20706444579,-25693.3699040243,0.0022224497952060066,0.1540854892961487,3242.8425361535274,2299.517083398848
-43170.4023064539,-25236.105489744878,0.00254341512272616,0.1443893356899931,3295.4525534369127,2274.1681512693867
-43545.46302774766,-24770.823111455396,0.0029153489444127306,0.1331004520445489,3349.179238942078,2247.844073990395
-43923.26962375599,-24300.07130069931,0.003340972458671428,0.12014506051137282,3403.731650490218,2220.660104408716
-44302.47001614309,-23825.48497422994,0.0038117834497431577,0.10802854835468789,3458.9213795272635,2192.68886737479
-44682.18820178784,-23348.13258330415,0.004310794670836754,0.09977821715800254,3514.623945756378,2163.9764435145953
-45061.84511901508,-22868.729904005206,0.004838165792967115,0.09395814284851813,3570.7549259500306,2134.552411973765
-45441.047861410276,-22387.772538698,0.0053972114186169136,0.08896767812864323,3627.255091723965,2104.4361753861067
